地区	指标	地区名	指标名	2009	2010	2011	2012	2013	2014	2015	2016	2017
110000	A070609	北京市	电力消费量	739.1465	809.9	821.7054	874.3	913.1	937.05	952.7169	1020.2706	1066.8903
110000	A070701	北京市	单位地区生产总值能耗(等价值)	0.606	0.5820000000000001	0.45899999999999996	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
110000	A070702	北京市	单位地区生产总值能耗(等价值)_同比增长	-5.76	na_rep	-6.94	na_rep	na_rep	na_rep	-6.17	na_rep	na_rep
110000	A070703	北京市	单位工业增加值能耗(规模以上当量值)	0.909	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
110000	A070704	北京市	单位工业增加值能耗(规模以上当量值)_同比增长	-12.3	na_rep	-18.5	na_rep	na_rep	na_rep	-8.16	na_rep	na_rep
110000	A070705	北京市	单位地区生产总值电耗(等价值)	681.85	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
110000	A070706	北京市	单位地区生产总值电耗(等价值)_同比增长	-2.74	na_rep	-6.1	na_rep	na_rep	na_rep	-4.87	na_rep	na_rep
120000	A070609	天津市	电力消费量	550.1556	645.74	695.1506	722.5	774.5	794.36	800.6009	807.9299	805.5945
120000	A070701	天津市	单位地区生产总值能耗(等价值)	0.836	0.826	0.708	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
120000	A070702	天津市	单位地区生产总值能耗(等价值)_同比增长	-6.03	na_rep	-4.28	na_rep	na_rep	na_rep	-7.21	na_rep	na_rep
120000	A070703	天津市	单位工业增加值能耗(规模以上当量值)	0.9109999999999999	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
120000	A070704	天津市	单位工业增加值能耗(规模以上当量值)_同比增长	-13.54	na_rep	-7.48	na_rep	na_rep	na_rep	-13.25	na_rep	na_rep
120000	A070705	天津市	单位地区生产总值电耗(等价值)	782.88	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
120000	A070706	天津市	单位地区生产总值电耗(等价值)_同比增长	-8.49	na_rep	-7.48	na_rep	na_rep	na_rep	-7.77	na_rep	na_rep
130000	A070609	河北省	电力消费量	2343.8467	2691.52	2984.9043	3077.7	3251.2	3314.11	3175.6587	3264.5185	3441.7426
130000	A070701	河北省	单位地区生产总值能耗(等价值)	1.64	1.5830000000000002	1.3	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
130000	A070702	河北省	单位地区生产总值能耗(等价值)_同比增长	-5.02	na_rep	-3.69	na_rep	na_rep	na_rep	-6.14	na_rep	na_rep
130000	A070703	河北省	单位工业增加值能耗(规模以上当量值)	2.9989999999999997	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
130000	A070704	河北省	单位工业增加值能耗(规模以上当量值)_同比增长	-9.54	na_rep	-6.68	na_rep	na_rep	na_rep	-6.02	na_rep	na_rep
130000	A070705	河北省	单位地区生产总值电耗(等价值)	1449.94	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
130000	A070706	河北省	单位地区生产总值电耗(等价值)_同比增长	-2.52	na_rep	-0.36	na_rep	na_rep	na_rep	-10.28	na_rep	na_rep
140000	A070609	山西省	电力消费量	1267.5376	1460.0	1650.4099	1765.8	1832.3	1822.63	1737.2078	1797.1802	1990.6135
140000	A070701	山西省	单位地区生产总值能耗(等价值)	2.364	2.235	1.7619999999999998	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
140000	A070702	山西省	单位地区生产总值能耗(等价值)_同比增长	-5.73	na_rep	-3.55	na_rep	na_rep	na_rep	-5.31	na_rep	na_rep
140000	A070703	山西省	单位工业增加值能耗(规模以上当量值)	4.55	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
140000	A070704	山西省	单位工业增加值能耗(规模以上当量值)_同比增长	-8.81	na_rep	-5.82	na_rep	na_rep	na_rep	-7.48	na_rep	na_rep
